cantidad,descripcion,peso,unidad_kilitro,precio_unitario,precio_kilitro,unidad_precio_kilitro,importe,timestamp
1,BOLSA PLASTICO,None,None,None,None,None,0.15,20/03/2024 18:49
2,+PROT NATILLA VAINI,None,None,1.75,None,None,3.5,20/03/2024 18:49
1,HUMMUS CLASICO,None,None,None,None,None,1.05,20/03/2024 18:49
2,TORTITAS DE MAIZ,None,None,1.1,None,None,2.2,20/03/2024 18:49
1,MEZCLA DE SEMILLAS,None,None,None,None,None,1.39,20/03/2024 18:49
1,UVA BLANCA S/SEM,None,None,None,None,None,2.73,20/03/2024 18:49
