cantidad,descripcion,peso,unidad_kilitro,precio_unitario,precio_kilitro,unidad_precio_kilitro,importe,timestamp
1,ENSALADA*,None,None,None,None,None,4.5,13/03/2024 13:28
1,BANANA,0.156,kg,None,1.45,€/kg,0.23,13/03/2024 13:28
1,MANDARINA,0.118,kg,None,1.99,€/kg,0.23,13/03/2024 13:28
