cantidad,descripcion,peso,unidad_kilitro,precio_unitario,precio_kilitro,unidad_precio_kilitro,importe,timestamp
2,+PROT NATILLA VAINI,None,None,1.75,None,None,3.5,25/03/2024 19:38
1,BOLSA PLASTICO,None,None,None,None,None,0.15,25/03/2024 19:38
1,JAMON S. EXTRA FINO,None,None,None,None,None,2.45,25/03/2024 19:38
1,QUESO LONCHAS VACA,None,None,None,None,None,2.4,25/03/2024 19:38
1,ENSALADA QUESO CABRA,None,None,None,None,None,2.79,25/03/2024 19:38
1,EMPANADA ATUN,None,None,None,None,None,3.7,25/03/2024 19:38
