cantidad,descripcion,peso,unidad_kilitro,precio_unitario,precio_kilitro,unidad_precio_kilitro,importe,timestamp
1,SMOOTHIE FRESA,None,None,None,None,None,1.50,14/03/2024 19:22
1,NAPO 3 CHOCO 29%,None,None,None,None,None,0.85,14/03/2024 19:22
