cantidad,descripcion,peso,unidad_kilitro,precio_unitario,precio_kilitro,unidad_precio_kilitro,importe,timestamp
1,POKE SALMON,None,None,None,None,None,5.5,14/03/2024 19:56
1,ICE TEA MANGO ZERO,None,None,None,None,None,0.95,14/03/2024 19:56
