cantidad,descripcion,peso,unidad_kilitro,precio_unitario,precio_kilitro,unidad_precio_kilitro,importe,timestamp
1,ENSALADA*,None,None,None,None,None,4.5,27/03/2024 13:33
1,MANDARINA,0.106,kg,None,1.99,€/kg,0.21,27/03/2024 13:33
1,BANANA,0.172,kg,None,1.45,€/kg,0.25,27/03/2024 13:33
